date,press_emb_0,press_emb_1,press_emb_2,press_emb_3,press_emb_4,press_emb_5,press_emb_6,press_emb_7,press_emb_8,press_emb_9,press_emb_10,press_emb_11,press_emb_12,press_emb_13,press_emb_14,press_emb_15,press_emb_16,press_emb_17,press_emb_18,press_emb_19,press_emb_20,press_emb_21,press_emb_22,press_emb_23,press_emb_24,press_emb_25,press_emb_26,press_emb_27,press_emb_28,press_emb_29,press_emb_30,press_emb_31
2023-10-06,-0.36739624,0.38820854,-0.34121838,-0.65186936,0.33636618,0.3509878,-0.34074825,0.12351966,0.13411056,0.19038182,-0.45175117,0.11029535,-0.4438228,-0.15086126,-0.32739857,0.030144185,-0.079283714,-0.1771569,-0.799695,-0.274251,0.17020802,0.3175453,-0.17857349,0.08807218,-0.6098869,0.22645995,0.21234588,0.28043914,0.11674737,-0.45111668,-0.34726396,0.24365011
2023-10-07,-0.0858957,0.24083579,-0.15143067,-0.5116653,0.31068048,0.14802113,-0.23440894,0.14896914,-0.0036620423,0.04319936,-0.3378808,0.16780943,-0.059487455,-0.073326156,-0.08010766,0.05280512,-0.08217269,-0.087386616,-0.38180646,0.016851254,0.24865998,0.1964998,-0.08368165,0.045855165,-0.56951374,0.106734656,0.090493426,0.21691138,0.26003945,-0.32712477,-0.15655726,0.051186047
2023-10-08,0.32329813,0.18518937,0.09194623,0.21085927,0.22674075,-0.1329654,-0.0819419,0.2855282,0.15947042,-0.065009795,0.013805963,0.40593377,0.27773082,-0.1913135,0.16021204,0.06197296,-0.34085035,0.067064136,-0.12025517,0.07962145,-0.47970623,-0.26152456,0.047026195,0.20954758,-0.7537138,0.07181983,-0.08278829,-0.056641027,0.031749316,0.18130374,0.038331553,-0.16299617
2023-10-09,0.30381793,-0.0052483603,0.02943647,-0.5505888,-0.1078665,0.0075935125,-0.03178121,0.1647674,0.12458184,-0.100019954,0.13256685,0.13438028,0.1680842,0.19773208,0.09511156,-0.15709694,-0.40209234,-0.18951714,0.09275146,-0.08948833,-0.16620044,-0.25971395,-0.12461179,-0.007148549,0.024845466,0.13700268,-0.24705951,-0.1942162,-0.09819319,0.00804159,-0.102025986,-0.13618499
2023-10-10,-0.54602486,0.5576472,-0.1821849,-0.44152838,0.3954279,0.17991953,-0.04067859,-0.11561264,0.10911186,0.32182792,-0.19146036,-0.09036999,-0.45237362,-0.08394414,-0.36300805,0.12695363,0.1795182,-0.41801167,-0.70082885,-0.19237797,-0.075697,-0.008869812,-0.15320966,-0.009337112,-0.29184255,0.06267539,0.301406,0.26964623,0.015603818,-0.31928557,-0.27307957,0.39782658
2023-10-11,-0.031935975,0.17474547,-0.073758304,-0.11556733,0.18562683,0.10174829,-0.077751905,-0.040543895,-0.19161749,0.13933462,-0.12832108,0.010932997,-0.04609417,-0.13580427,-0.20592558,0.20698598,0.042383347,-0.14419436,-0.26173997,0.09324162,0.13037698,0.059120886,-0.09429198,-0.11710993,-0.32044336,-0.0028440058,0.1840779,0.13529712,0.100049354,-0.1221017,0.052143186,0.044434555
2023-10-12,-0.095230386,0.24900308,-0.16982636,-0.47007304,0.19706932,0.04992156,-0.23362425,0.095719665,0.019958645,-0.0018067062,-0.10065055,-0.05678919,-0.08886852,0.072203144,-0.031626966,0.06866858,-0.0011498779,-0.30010128,-0.23767796,-0.121785104,-0.06854603,0.016868547,-0.19776556,-0.08333767,-0.2081061,-0.038457505,0.10047425,0.2178767,-0.08099396,-0.107256316,-0.24908942,0.1403574
2023-10-13,-0.18270135,0.48738882,-0.07796177,-0.72248334,0.25352776,-0.048406612,-0.23719487,0.18416391,0.090366125,0.077829316,0.09479028,-0.14305548,-0.19812995,0.31070817,0.041781917,-0.043257162,-0.06269239,-0.43172428,-0.28020406,-0.17380092,-0.28889894,-0.13252227,-0.31706572,-0.011862859,0.055010155,-0.20045403,0.04074242,0.14445865,-0.3587643,-0.028231911,-0.47166795,0.13253757
2023-10-14,-0.47462243,0.7351821,0.37781847,-0.37691247,0.65751594,0.10666722,-0.13381645,-0.081411704,0.020750627,0.847677,-0.10992007,0.27707767,-0.3650154,-0.371204,-0.8298086,0.30541253,-0.09758474,-0.2793351,-1.0005958,0.15828589,0.09267208,-0.33587724,0.009834677,-0.5389135,-0.7510374,0.31787765,0.30824265,-0.018882707,0.4389084,-0.5269177,-0.055555165,0.13179901
2023-10-15,-0.04648292,0.3353348,-0.08645061,-0.54253775,0.31863,0.14340799,-0.30727032,0.1340609,0.095732525,0.0380966,-0.2844531,0.07454147,-0.051066734,-0.19340956,-0.1111154,0.07086803,-0.11104849,-0.23460737,-0.36482847,0.06101085,0.25594494,-0.05195331,-0.17936838,-0.20971903,-0.52058357,0.23912162,0.06800585,0.19140026,0.19819805,-0.40388703,-0.17846256,0.14416575
