date,attendences,avg_temp,max_temp,min_temp,precipitation,max_hourly_rain,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,press_count,press_titles,press_emb_0,press_emb_1,press_emb_2,press_emb_3,press_emb_4,press_emb_5,press_emb_6,press_emb_7,press_emb_8,press_emb_9,press_emb_10,press_emb_11,press_emb_12,press_emb_13,press_emb_14,press_emb_15,press_emb_16,press_emb_17,press_emb_18,press_emb_19,press_emb_20,press_emb_21,press_emb_22,press_emb_23,press_emb_24,press_emb_25,press_emb_26,press_emb_27,press_emb_28,press_emb_29,press_emb_30,press_emb_31
2023-01-09,290,1.7,7.9,-3.5,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.0,"천안시, '문화·경제·교통·환경·복지' 시정 4개년 계획 발표 | 수협은행, 작년 순익 2905억원…강신숙 “올해 새 도약 원년” | 이봉창 의사 의거 91주년 기념식 거행 | [금융 이모저모] 신한은행, 메타버스 시나몬 2023 CES 참가 | 이원덕 우리은행장, ""고객에 진심과 정성 다하자""…2023년 영업본부장 워크숍... | 빙그레, 이봉창 의사 의거 91주년 기념식 | 동해시 장백통일공원 조성 첫걸음 내디딘다 | 박상돈 천안시장 ""청수역 신설 포기할 수 없어"" | 제91주년 '이봉창 의사 의거 기념식' 거행 | 천안시, 민선8기 시정운영 4개년 계획 발표",-0.08427269,0.014486842,0.0037130052,-0.013869431,0.025917549,-0.08448821,-0.1418622,0.012904791,0.013433242,0.025119293,-0.0014091819,-0.03497789,0.0883801,-0.07267464,-0.13963097,-0.039998785,-0.06748922,0.06938192,0.014779933,-0.0030985847,-0.029212402,0.057907663,0.081975706,-0.05013445,-0.14558998,0.06621946,-0.041970115,-0.040209636,0.03556007,0.11614856,0.040120624,-0.121189244
2023-01-10,3114,-0.7,8.3,-7.3,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0,"방치 지적 '신한촌 기념탑' 블라디보스토크시가 직접관리 추진 | 주유소·배 위에서 오피셜을 띄워  어디 내놔도 꿀리지 않는 'K-오피셜' | 천안서 2026년 ‘K-컬처 세계박람회’ 추진 | 천안시, 민선 8기 시정 운영 4개년 계획 제시",-0.061069887,-0.018754985,-0.041246798,-0.006781021,0.01369587,-0.06396256,-0.12711826,-0.015604703,-0.009027602,-0.023120191,-0.020475386,-0.021190569,0.053028435,-0.06940555,-0.1628618,-0.03528706,-0.05964973,0.07917178,0.015548866,-0.014802946,-0.025839735,0.077586114,0.08783735,-0.093337715,-0.15118995,0.044896506,-0.07200534,-0.061423965,0.062856674,0.11344801,0.038799822,-0.1031425
2023-01-11,2720,-0.2,8.9,-6.2,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,“안중근의 이토 사살은 국제법상 교전”,-0.097992554,0.015924226,-0.06523709,-0.019614724,0.02149962,-0.019973867,-0.14010546,-0.011675909,-0.052883454,-0.015474696,0.0022860975,-0.044896953,0.1260598,-0.04229349,-0.12516828,-0.061514545,-0.062395938,0.08096225,0.004947178,-0.058916166,0.028816655,0.039849497,0.07677666,-0.0046733096,-0.1373596,0.081953935,-0.00013993448,-0.04716598,0.13979498,0.13131586,0.044823367,-0.022301596
2023-01-12,2787,2.8,13.8,-5.3,0.1,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,"100년 전 오늘, 김상옥은 종로경찰서에 폭탄을 던졌다. 왜 ",-0.026195806,0.02290662,-0.026296217,-0.021344548,-0.015188845,-0.093358554,-0.118146956,0.03924296,-0.03518954,0.06746637,-0.04767554,-0.0713696,0.14584148,-0.06911674,-0.12591037,-0.052478053,-0.020828273,0.037948437,0.078300074,0.013530207,0.006617017,0.10046947,0.0978304,-0.062098533,-0.1454823,0.074039616,0.014631966,-0.076569475,0.07543673,0.06834166,0.049117677,-0.029767506
2023-01-13,1916,8.6,11.2,4.2,14.9,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,-0.059113808,0.049278006,-0.04165333,-0.00235668,0.036502462,-0.11307298,-0.05586378,0.022829719,-0.022006718,-0.014589231,-0.033636693,-0.025775114,0.12476952,-0.15255022,-0.17033929,-0.018486217,-0.013484448,0.11502063,-0.036652446,0.010184698,0.036428593,0.0922533,0.0837511,-0.03937439,-0.13368009,0.08887066,-0.11443314,-0.0138579905,0.050140195,0.10886709,0.04193622,-0.095955186
2023-01-14,3923,6.6,9.2,4.5,5.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,-0.059113808,0.049278006,-0.04165333,-0.00235668,0.036502462,-0.11307298,-0.05586378,0.022829719,-0.022006718,-0.014589231,-0.033636693,-0.025775114,0.12476952,-0.15255022,-0.17033929,-0.018486217,-0.013484448,0.11502063,-0.036652446,0.010184698,0.036428593,0.0922533,0.0837511,-0.03937439,-0.13368009,0.08887066,-0.11443314,-0.0138579905,0.050140195,0.10886709,0.04193622,-0.095955186
2023-01-15,3171,0.2,4.6,-3.1,1.8,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,-0.059113808,0.049278006,-0.04165333,-0.00235668,0.036502462,-0.11307298,-0.05586378,0.022829719,-0.022006718,-0.014589231,-0.033636693,-0.025775114,0.12476952,-0.15255022,-0.17033929,-0.018486217,-0.013484448,0.11502063,-0.036652446,0.010184698,0.036428593,0.0922533,0.0837511,-0.03937439,-0.13368009,0.08887066,-0.11443314,-0.0138579905,0.050140195,0.10886709,0.04193622,-0.095955186
2023-01-16,1399,-3.7,-0.5,-7.8,0.2,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0,"안성3.1운동기념관, 안성지역 독립운동 유물 공개 구입 | 안성시, 반도체산업 육성 및 유치 특별강연 개최 | 김포시, 문화관광해설사와 함께하는 관광 재개…6곳 16명 배치 | 난 신일본인!' 외쳤던 이봉창, 그는 왜 일제의 '대역죄인'이 되었나[이기환의... | 인천콘서트챔버 '1916 하와이 호놀룰루 애국창가' 발매 | 김포시, 문화관광해설사와 함께하는 관광 재개 | 김포시, 문화관광해설사와 함께 하는 관광 재개",-0.0690652,0.039695784,0.0015707649,-0.04506199,0.03765843,-0.12278691,-0.12439727,-0.012543438,0.012987968,0.045455627,0.007609582,-0.037597172,0.098808825,-0.06422933,-0.1339523,-0.04738782,-0.047047116,0.12368049,0.019444268,-0.030496532,-0.029878777,0.07604395,0.07531621,-0.035766788,-0.1715733,0.04689412,-0.075970136,-0.024098735,0.035503637,0.119775325,0.04430788,-0.1257386
2023-01-17,2527,-3.1,2.2,-8.5,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,-0.059113808,0.049278006,-0.04165333,-0.00235668,0.036502462,-0.11307298,-0.05586378,0.022829719,-0.022006718,-0.014589231,-0.033636693,-0.025775114,0.12476952,-0.15255022,-0.17033929,-0.018486217,-0.013484448,0.11502063,-0.036652446,0.010184698,0.036428593,0.0922533,0.0837511,-0.03937439,-0.13368009,0.08887066,-0.11443314,-0.0138579905,0.050140195,0.10886709,0.04193622,-0.095955186
2023-01-18,2084,-1.9,3.6,-6.2,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.0,"의성독립운동사 독립운동가 학술연구 용역 완료 외 [의성소식] | 계룡시, 독립운동가 한훈기념관 현충시설 지정 | 인천지역 독립운동의 출발 | [이정은의 역사칼럼] 돌, 바람, 여자의 섬 제주도의 독립운동사 (2)-바람 (2) | ‘고품격 문화도시’ 천안의 밤, 빛으로 물든다 | 설 연휴, 무료 고속도로 타고 힐링하러 밀양으로 | 천안시, ‘천안 K-컬처 박람회’ 성공 개최… 민간 전문가 위촉 | 박상돈 천안시장 ""예술·스포츠·휴식 어우러지는 고품격 문화도시 만들겠다"" | 김포시, 문화관광해설사와 함께하는 관광 재개 | 유영채 천안시의원 ""시민프로축구단 활성화로 K1리그 승격 도전하자"" | 밤에도 매력적인 천안…경관조명 사업 디자인 공개 | ‘고품격 문화도시’ 천안의 밤, 화려한 빛으로 물들다 | 설 연휴, 무료 고속도로 타고 힐링하러 밀양으로~ | 나흘간의 설 연휴, 귀향·귀성길에 밀양가볼만한 곳 5 | 천안시, '2023 천안 K-컬처 박람회' 전문성 UP...민간 전문가 위촉 | 천안 K-컬처 박람회' 민간 전문가 위촉...전문성 강화 나서",-0.069285184,0.018386908,-0.005530309,-0.026451616,0.034574162,-0.10595901,-0.14091198,-0.0018270817,0.01087951,0.023492912,-0.011013212,-0.040675648,0.06976705,-0.059325386,-0.12630974,-0.051827878,-0.06435925,0.086694025,0.021674838,-0.016230302,-0.033112798,0.08035401,0.09231162,-0.05075787,-0.16913489,0.035345383,-0.06631727,-0.03073734,0.048783235,0.086006925,0.042062752,-0.11197273
2023-01-19,2036,-0.4,5.2,-7.6,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.0,"[잠깐 만납시다] 정진영 경북독립운동기념관장 ""호국정신 집대성, 미래 통일정... | 1월19일은 불조심 재강조의 날…소방청, 첫 지정·운영 | 공무원 교육부터 혁신…확실한 지방시대 구현 | 소방안전문화 확산 총력···19일 '불조심 재강조의 날' | 양종훈 다큐사진가, 일본 오사카서 ""제주해녀 사진展"" 개최 | 설 연휴, 힐링은 밀양에서…대표급 관광지 즐비 | [칼럼] '국가보훈부' 시대가 온다 | 설 연휴, 무료 고속도로 타고 힐링하러 밀양으로 [여기어때] | 설 연휴, 해외 안 나간다면…가볼 만한 '국내 여행지' 3선 | 충남 천안시의회 유영채 의원, 5분 발언서 천안시민프로축구단 활성화를 위한...",-0.06463294,0.047849763,-0.015026993,-0.050781414,0.03786107,-0.09849371,-0.15288776,-0.0137894,0.0142361075,0.0383669,0.0036791605,-0.036333643,0.099580206,-0.052192554,-0.124329664,-0.0449969,-0.059844382,0.100501075,0.017694801,-0.039437473,-0.035403304,0.07918847,0.07869372,-0.01811827,-0.16602212,0.034506828,-0.05914026,-0.019940816,0.059532396,0.0967113,0.046089955,-0.10615097
2023-01-20,2022,-2.1,3.5,-8.2,1.2,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.0,"독립기념관 신한류 거점으로…K-컬처 박람회 윤곽 | 국민은행, 독립유공자 후손을 위한 '대한의 보금자리' 2호 헌정 | KB국민은행, 독립유공자 후손 위한 '대한의 보금자리' 2호 헌정 | 독립유공자 후손 주거환경 개선...KB국민은행 '대한의 보금자리' 2호 주택 ... | KB국민, '대한의 보금자리' 2호 헌정 | KB국민은행, '대한의 보금자리' 2호 주택 헌정…서경덕 성신여대 교수와 의기... | KB국민은행, 이정오 애국지사에 '대한의 보금자리' 2호 헌정 | KB국민은행, 애국 보훈 ‘대한의 보금자리’ 2호 주택 헌정 | [최강시사] 탁현민 “尹 UAE 순방 발언 논란, 정무·홍보라인 무능이며 대통령...",-0.07720623,0.04915417,-0.015654776,-0.06201534,0.06301092,-0.1000635,-0.14807928,-0.0029100236,-0.009099653,0.057297807,0.022460539,-0.052454725,0.10593724,-0.028040655,-0.124111265,-0.037541643,-0.07931517,0.10424803,0.018848639,-0.04305747,-0.04028479,0.07889743,0.08007216,0.013899766,-0.18659535,0.044888273,-0.066683106,-0.03768425,0.065508574,0.09970947,0.054844417,-0.13967264
2023-01-21,2189,-5.0,1.4,-11.1,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,"2023년 밀양방문의 해'…설연휴 가볼만한 밀양 여행지 5곳 | 케이블카 타고 영남알프스 가볼까…설 연휴 밀양 여행지 5선 | 천안시, 야경이 아름다운 '고품격 문화도시'",-0.06682563,0.020345148,-0.0017564492,-0.029246384,0.041070767,-0.14707795,-0.14410825,-0.022585552,0.031686664,0.03515255,-0.0034364448,-0.04082652,0.071423456,-0.06219167,-0.14276719,-0.0566678,-0.05424302,0.1036911,0.031299394,-0.032953687,-0.019164316,0.04907731,0.09205536,-0.03235282,-0.18132922,0.026668407,-0.07711529,-0.011868037,0.023399172,0.10659097,0.03555853,-0.13506858
2023-01-22,2756,-1.0,3.0,-4.7,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10.0,"천안시, 일본어로 명절 인사 영상 SNS 게재 논란 | “설날에 일본어가 웬 말” 천안시 SNS 게시물 삭제하고 사과 | 지자체 설 인사에 '오이시쿠나레 모에모에큥'  천안시 영상 도마 위 | 설 명절에 사과문 올린 천안시에 무슨 일이  | “오이시쿠나레” 천안시, 일본어 설 인사 영상 논란 | 설에 “오이시쿠나레”가 웬 말…홍보 급급 지자체 ‘왜색’ 무리수 [이슈픽] | 빛으로 물드는 천안의 밤...도심 곳곳에 경관조명 | 천안시, 인스타그램 ‘설 영상’ 친일 논란 ‘화들짝’ | 설 인사로 일본어 “모에모에큥” 했다가 난리 난 천안시 현재 상황 | 모에모에큥 설 인사로 공식 SNS에 일본어 밈 올린 천안시, 사과문을 올렸으...",-0.085486494,0.012816299,-0.059178248,-0.0025456958,0.058229893,-0.06577559,-0.15489295,-0.0035875812,-0.009584876,-0.02274834,-0.048175678,-0.011933578,0.052436735,-0.03981457,-0.1489453,-0.04871634,-0.08425093,0.06803708,0.011969663,-0.007520521,-0.041563854,0.055678748,0.07160343,-0.031202527,-0.17087862,0.05830224,-0.07141578,-0.034923166,0.089248,0.11142701,0.048759483,-0.10936687
2023-01-23,4851,-0.4,6.5,-4.6,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0,"의성군, 의성독립운동사' 증보판 발간 | 그들은 왜 프랑스 영사 암살을 시도했나 | 오이시쿠나레 설 명절에 일본어 인사 영상을… 천안시 '뭇매' | “오이시쿠나레” 일본어 설 인사 영상을…천안시 ‘뭇매’ | 모에모에큥 설 영상에 일본어 밈…논란된 천안시, 결국 사과 | 설명절 '일본어 영상' 올린 천안시 사과에도 네티즌 비난 봇물 | 정신나간 천안시, ""오이시쿠나레"" 일본어 설 인사 영상…비난 쇄도 | [트래블투데이] 설 연휴, 무료 고속도로 타고 힐링하러 밀양으로~",-0.06714153,0.031515237,-0.058349982,0.0013064127,0.06355087,-0.058662374,-0.16162196,-0.0102572255,-0.012459965,-0.0047557913,-0.044540416,-0.017878588,0.08185966,-0.027402414,-0.12425179,-0.04064291,-0.08325535,0.070556074,0.0060607307,-0.0156721,-0.04319847,0.05706818,0.08470814,-0.02311159,-0.16426587,0.05572269,-0.050670445,-0.046807162,0.1032443,0.099614196,0.053692497,-0.10410304
2023-01-24,5117,-11.9,-4.2,-15.4,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.0,"천안시, 독립기념관의 야간 명소화 추진 | 천안시 독립기념관 K-컬쳐 박람회는 무엇  | 친일파 군홧발 아래 독립운동가... 의열단 따라 현충원 갑니다 | 2023년 공공기관 지정 이달말 발표…금감원 지정유보 논의 | 사무실 구조조정' 나선 공공기관들 [임도원의 관가 뒷얘기] | 정부, '금융감독원' 공공기관 지정 여부 논의 | 올해 공공기관 지정, 이달말 발표…금감원 지정유보 재논의 | 올해 공공기관 지정, 이달말 발표…금감원 지정유보 논의 | 2023년 공공기관 지정 이달말 발표…금감원 지정유보 재검토 | 기재부, 2023년 공공기관 지정 이달말 발표…금감원 지정유보 논의",-0.051259223,0.022773761,0.003038832,-0.0249984,0.030307608,-0.060174804,-0.14099495,-0.027222287,-0.0071964767,0.0089380145,-0.0035603596,-0.048496906,0.09189376,-0.06800808,-0.12553373,-0.052569598,-0.064387046,0.09721476,0.009349324,-0.021967256,-0.021017514,0.080688216,0.08184936,-0.05239764,-0.16454422,0.0432425,-0.052352164,-0.054634918,0.06466298,0.091581926,0.0375506,-0.10649756
2023-01-25,2032,-12.1,-5.9,-18.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,부산 사상구 출신 독립운동가 동산 김형기 기념관 개관 | 동산 김형기 독립운동가 위한 기념관 개관 | [만나봅시다] 박말태 민주평통 양산시협의회 회장,-0.07706425,-0.010889228,-0.023074385,-0.0544604,0.05340291,-0.073474675,-0.106800795,0.040473588,-0.0417483,-0.00012417883,-0.0028065029,-0.041819,0.09517613,-0.051956996,-0.19286859,0.006765906,-0.060146276,0.10434738,0.023804795,-0.009180741,-0.025072359,0.118354455,0.08797719,-0.08437766,-0.23149791,0.053278223,-0.087765835,-0.03390139,0.108109854,0.10435425,0.061586775,-0.15760097
2023-01-26,1805,-6.4,-3.9,-11.8,1.7,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,-0.059113808,0.049278006,-0.04165333,-0.00235668,0.036502462,-0.11307298,-0.05586378,0.022829719,-0.022006718,-0.014589231,-0.033636693,-0.025775114,0.12476952,-0.15255022,-0.17033929,-0.018486217,-0.013484448,0.11502063,-0.036652446,0.010184698,0.036428593,0.0922533,0.0837511,-0.03937439,-0.13368009,0.08887066,-0.11443314,-0.0138579905,0.050140195,0.10886709,0.04193622,-0.095955186
2023-01-27,1949,-8.0,-3.4,-14.1,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,6월 임시정부 국민대표회의 100주년 학술대회 | 2022 월드코리안 대상(大賞)' 수상자에 김기영 박호선 신경호 정종완 정주현... | [이정은의 역사칼럼] 해방과 머나먼 귀환의 길,-0.06570817,0.0282876,0.010464073,-0.04300969,0.029698938,-0.10430963,-0.146076,-0.014808577,0.018927218,0.025399849,0.030964281,-0.07076215,0.11931686,-0.055069182,-0.11521725,-0.052777212,-0.07488304,0.09701426,0.024838965,-0.04492209,-0.031140152,0.066622674,0.10389653,-0.015765443,-0.142961,0.043069646,-0.04412796,-0.034844764,0.03416036,0.10669071,0.057593744,-0.098937556
