date,attendences,avg_temp,max_temp,min_temp,precipitation,max_hourly_rain,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,press_count,press_titles
2023-03-19,7457,6.3,15.9,-2.2,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3.0,"신부로 여장하고 3층에서 뛰어내려” 불꽃같았던 나의 할아버지, 의사 나창헌 | 서병희 의병장， 경남지역 항일활동 유일 | 산청 7매， 남사예담촌 매화 얘기 더 짙어진다"
2023-03-20,1365,8.1,18.3,-1.2,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.0,"독립기념관 '미국과 함께한 독립운동' 기획 전시 | 독립기념관, 주한 미군기지 내 기획전시 최초 개최 | 광복회 미서북부지회, 차세대에 독립운동 알리는 '민족캠프' | [최완규의한·미동맹사] 미국과 함께한 독립운동 ‘독수리 작전’ | 정예장교 육성' 단국대 125학군단 동문회, 장학금 1000만원 기탁 | 충남도, 내년 국비 '10조 시대 개막' 힘 모은다 | 미주 한인들이 제작한 승전기원 배지 | 이승만 박사가 굿펠로우에게 보낸 편지 | 임시정부가 루스벨트 대통령에게 보낸 편지"
2023-03-21,3022,11.3,22.2,-0.2,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.0,"1945년 광복군-미군 한자리에… ‘美와 함께 한 독립운동’ 기획전 | 독립기념관, 주한 미군기지 내 첫 기획전시 | 미국과 함께 한 독립운동 | 한일 정부 꾸짖은 일본 시민단체 ""나쁜 결정했다"" | 천안·아산 삼백리 자전거길 열린다 | IWPG 글로벌 10국, 온리피스 콘퍼런스 개최… DPCW 지지 촉구 | 함평군 청소년문화의집, 문화역사 탐방 | 동양평화만세만만세' 안중근 의사 옥중 유묵 공개 | 천안 목천나들목 지역 최대 쌍구형 회전교차로 신설  | 단국대학교 125학군단 총동문회, 누적 장학금 8,600만 원 기탁"
2023-03-22,2475,15.4,24.9,3.3,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0,"양산항일독립기념관, 시립박물관서 운영한다 | ‘제5회 온리피스(Only Peace) 콘퍼런스‘ 20일 열려 | [히스토리] 1965년 국교정상화부터 기시다 회담까지의 여정 | 경상북도 공공기관 직원 통합채용, 지텔프 55점 전체 반영"
2023-03-23,2418,14.2,20.9,9.3,6.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,
2023-03-24,2709,10.8,16.3,4.5,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,
2023-03-25,7071,11.4,14.5,9.2,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0,"독립기념관, 주한 미군기지 내 기획전시 최초 개최 | “천안 K-컬처 박람회 문화 예술의 메카 도시로 만드는 것” | 천안시의회, 'K-컬처 박람회' 성공개최 도모 | (R) ""빵 먹으러 천안 갈래 "" 베리베리 빵빵축제 모인 '빵지순례단'"
2023-03-26,7279,9.2,14.7,4.2,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.0,"제1회 경주보훈문화제...‘다시 피어난 독립의 꽃’ | 4년 만에 열린 양산 만세운동 재현행사, 성황리에 개최 | 1916 하와이 호놀룰루 애국창가' 음반 발매 기념 콘서트 | 천안시의회 '천안 K-컬처 박람회 성공개최 지원'을 위한 연구모임 1차 간담회... | 충남 천안시의회, 「천안 K-컬처 박람회 성공개최 지원」을 위한 연구모임 1차... | 반일을 넘어 전북형 극일의 길을 모색해보자! | 천안시의회 ‘천안 K-컬처 박람회 성공개최 지원 연구모임’ 1차 간담회"
2023-03-27,1203,5.7,13.8,-2.3,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.0,"만세운동 주도 독립운동가 생가 흉물로 방치…표석 이름도 틀렸다 수정 | 빵에 '진심' 천안시, '베리베리 빵빵데이' 성료 | 2023 천안 K-컬처 박람회 서포터즈' 활동계획 구체화 | 2023 천안 K-컬처 박람회 서포터즈' OT실시. | 2023 천안 K-컬처 박람회 서포터즈' 활동계획 구체화 | 천안시의회, 천안 K-컬쳐 박람회 성공개최를 위한 연구모임 간담회 열어 | 충남 천안시,'2023 천안 K-컬처 박람회 서포터즈' 활동계획 구체화 | 충남 천안시, 2023 천안 K-컬처 박람회 서포터즈 오리엔테이션 | 2023 천안 K-컬처 박람회 서포터즈' 활동계획 구체화 | 2023 천안 K-컬처 박람회 서포터즈' 활동계획 구체화"
2023-03-28,3510,7.1,16.1,-2.2,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,
2023-03-29,2394,10.0,20.4,-0.4,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,"日, 교과서 왜곡… ""한일 정상회담 양보, 일본에 신호로 비춰졌을 것"" | 충남에 있는 다양한 기독교 유적 | 천안시, 국외 전담 여행사 초청 팸투어 실시 | 청소년육성재단 끌어안은 '경북행복재단' 9월 출범…경북도 3번째 공공기관 개... | [시선집중] 前 오사카 총영사 “日, 개가 짖어도 마차는 달린다.. 브레이크 풀..."
2023-03-30,2460,11.6,21.9,0.8,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.0,"상주문화원 '경북 독립운동사 아카데미 상주' 내달 27일까지 운영 | 서울남부보훈지청, 「독립영웅의 길」 체험 박람회 개최 | 박민식 보훈처장 재산 32억6000만원…엄동환 방사청장 17.6억[재산공개] | <뉴스브릿지> 이방인이 아닌 친구…찾아가는 어학당 | 서재필 선생의 애국·애족 정신 기린다 | 창원 마산 삼진의거 역사성 알리기 노력"
2023-03-31,3629,12.5,23.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.0,"미스터 션샤인' 실제인물 황기환 선생 등 3명, 4월 독립운동가 | 군산서 '사진으로 보는 한국 독립운동사  독립운동사 20선-' 전시회 | 75주년 4.3추념일, 서울서 '통일' '자주독립' 함성 울려 퍼진다 | 서울남부보훈지청, 매헌윤봉길의사기념관 광장에서 '독립영웅의 길' 체험 박람... | 안성시-경기동부보훈지청, 2023년 4월 '이달의 안성 독립운동가 남상훈(南相薰... | 매헌윤봉길의사기념사업회, '매헌시민의 숲' 명칭 개정 음악회 | 창녕박물관 봄 나들이 장소로 ‘인기’ [창녕소식] | 100% 국내산 쌀 '흥타령쌀 막걸리', 출시 앞둬 | 프로젝트수업으로 자신만의 답을 찾는 아이들이 갖출 첫 덕목은  | [한국강사신문 대표가 만난 강사] ""대한민국을 알리고 지킨다!"" 성신여대 서경..."
2023-04-01,7505,14.6,25.0,3.3,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,"독립기념관, 4월의 독립운동가 전시회 개최 | 독립기념관, 2023년 4월의 독립운동가 전시회 | 군산서 사진으로 보는 한국 독립운동사 전시 | 사진으로 보는 한국 독립운동사.. 독립운동사 20선-'展 | 김보라 안성시장 ""4월 1일, 일제치하에서의 해방의 날이자 시민의 날...의미 ..."
2023-04-02,7609,15.1,22.7,5.4,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9.0,"군산3.1운동100주년기념관, 독립기념관 순회전시 개최 | 상주문화원, ‘경북 독립운동사 아카데미 상주’ 개강 | 서울남부보훈지청, 7일 '독립영웅의 길'체험 박람회 개최 | 메타버스로 만나는 '호국 메모리얼 파크'…경북도 플랫폼 조성 | 창녕박물관 4월에도 '봉화, 대한을 밝히다' 등 전시 다양 | 지난해 가장 많이 다녀간 충청 '핫플' | 충남 천안에서 천안 쌀로 빚은 '흥타령 막걸리' 출시된다. | 김보라 안성시장, ""1919년 4월 1일은 만세운동으로 일본관청을 몰아낸 날"" | 충남, (사)녹색환경본부 천안 병천 유관순 생가 앞 수입교 일대 환경정화 활동..."
2023-04-03,508,15.6,23.1,4.1,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0,"4월의 독립운동가 외교 활약 이희경 외 2인 선정 | 4월의 독립운동가에 이희경·나용균·황기환 선생 선정 | 윤봉길의사 의거일 맞아 독립운동 체험 박람회 | [B tv 중부뉴스]4월의 독립운동가 ‘이희경·나용균·황기환’ | 일제에 난도질된 소설 ‘제방공사’, 일본어 첫 번역 | 친일'  윤석열 정부의 행보 예고하는 이상한 징후 [김종성의 '히, 스토리'] | 이육사 선생 묘소' 고향마을 문학관 옆으로 이전한다 | 일제에 난도질된 이석성 소설 ‘제방공사’ 일본어로 첫 번역"
2023-04-04,3009,15.6,22.1,10.6,8.9,3.7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0,"대한독립 만세…104년전 그날 익산주민 함성 울려퍼졌다 | 독립기념관, 2023년 4월의 독립운동가 전시회 개최 | 전두환의 '독도는 그들의 땅' 선언 [김종성의 '히, 스토리'] | [골프장 탐방]양주CC, 아름답고 합리적인 ‘1호 골퍼’의 걸작 | 인천창영학교의 잘못된 개교연도 바로 잡아야 | 천안시 부성1동 새마을, 시티투어 버스 타고 천안 과거와 현재 체험 | 익산 4.4 만세운동 104주년 기념식 열려 | 익산시 4·4만세운동 104주년 기념식"
2023-04-05,2331,13.0,16.4,8.8,10.2,2.1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.0,"익산시, 항일독립운동기념관에서 4.4만세운동 104주년 기념식 | 화성시 ‘독립기념사업’… 민족혼 부활 [인사이드 경기] | 화성시 15일 누림아트홀서 ‘제암리·고주리 역사강연 콘서트’ | 창영초 역사 바로잡기 시작 | 화성시, 학살사건 추모 '화성 4·15 제암리·고주리' 역사강연 클래식 콘서트 | 화성 4.15 제암리·고주리 학살사건 역사강연 클래식 콘서트 개최 | 청주교대부설초 현장체험학습 실시 | 육사 묘(墓), 63년만에 문학관 옆 생가터로 옮겨 | 청주교육대학교부설초등학교, 현장체험학습 | 화성 4.15 제암리·고주리 학살사건 역사 강연 클래식 무료 콘서트...15일 누..."
2023-04-06,2355,9.3,11.4,7.4,2.9,1.1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.0,"인근 마을에 조선인 넘겨 살해하게 한 일본 당국 [민병래의 사수만보] | 천안시의회, 재외동포청 유치 결의문 채택 | “천안 스마트 스쿨존 김시민 장군 추모사당 건립 해야” | 심폐소생술도 배우고 구조견 시범도 보고···다문화 가족 119 안전체험 | 이종찬 “스트레스 받는 일은 빨리 잊어…숙면·소식·절제가 건강 비결[100세... | 천안시의회, '재외동포청 천안 유치 지지 결의안' 채택 | 대한민국 임시정부를 기억하다 [컬처샐러드] | 창영학교 개교일 1896년 1월 22일로 앞당겨야 | 소방청, 다문화가족 60팀과 오는 5월 안전체험 캠프 운영한다 | [원동인 칼럼] 일본 사과의 진정성을 알 수 있다"
2023-04-07,3068,7.9,16.4,2.8,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,"[영상] 2023 경기도 박물관·미술관 다시보기ㅣ첫 번째, 김포시독립운동기념관 | 천안시 성환 제3탄약창 부지 지방정원 추진 | 천안시의회, 재외동포청 천안시 유치 지지 결의안 '만장일치' 채택 | 숨은 시인 마중물, 계간 'P.S 시와징후' 창간 | 소방청 '다문화가족 119안전캠프' 참가자 모집"
2023-04-08,5834,7.2,15.2,-1.5,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,"85년 만에 묘지 발견, 미국서 협의·소송 15년…“100년이나 늦게 고국으로 모..."
2023-04-09,6857,8.8,19.8,-1.2,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2.0,"서산의 대표 독립운동가 이봉하 선생 정신 계승, 서산 시민 걷기 대회 성료 | 국내 소개된 최초의 안익태 곡 ‘애국가’ | 최초 ‘애국가’보다 54일 빨라…..."
2023-04-10,692,11.0,21.4,0.2,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.0,"윤봉길 안경집·황기환 편지…임정기념관, 독립운동가 생활사展 | 임정기념관, 독립운동가 생활사 특별전시 | [디지털기술 도입한 독립기념관 가보니] 인공지능 기술로 독립운동 역사 생생... | 청남대 봄축제 역대급…6월까지 6개 행사 잇따라 | 수학여행 성지 ‘제주’ 학생들은 어디로 수학여행 갔을까 | 100년 만에 돌아온 ‘유진 초이’… 황기환 선생 국립현충원 안장 | <동정> 임종식 경북도교육감 | 안양시노동인권센터, '역사문화기행 프로그램' 운영 | 거창소방서, 다문화가족 119안전캠프 참가자 모집 | 안양시노동인권센터, 취약계층 노동자 역사문화기행 활동 진행 | [동정]임종식 경북교육감, 대한민국임시정부수립 제104주년 기념식 참석 | [황인희의 역사 산책] 그 대한민국과 이 대한민국은 다르다 | 보훈교육연구원, 수원시 청소년 대상 보훈현장 체험교육 실시 | 경북교육감 동정 | 이선우 전 국가보훈처 국장·장석흥 국민대 명예교수·오토인더스트리, 아주 ... | 권기창 안동시장, 대한민국임시정부수립 기념식"
2023-04-11,3116,14.7,20.4,7.4,0.5,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,
2023-04-12,3489,9.3,17.2,1.6,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0,"제22회 유관순상 시상식 독립기념관서 열려 | 독립운동의 성지 안동서 제104주년 대한민국임시정부 수립 기념식 개최 | [동정] 박상돈 천안시장, 독립기념관 야간명소 조성사업 실시설계용역 최종보... | 공공기관 서비스 품질 개선에도…마사회·강원랜드 여전히 '미흡' | 방구·방광·사탄·대가리…‘봄’에 좋다는데, 웬 욕이냐고요  [여프라이즈] | ♬∼♬∼ 재즈 선율에 모네·르누아르·고흐를 만난다 | 대한민국 임시정부 수립 제104주년을 기념하며 | 박상돈 천안시장 | RAP TEST"
2023-04-13,2591,11.7,22.5,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.0,"독립기념관, 공공기관 고객만족도 조사 3년 연속 우수 기관 선정 | 한국여성독립운동기념관 건립에 뜻 모은다…14일 국회 토론회 | 영덕교육지원청, 영덕 독립운동사 사회과 보조교재 개발위원회 및 특강 개최 | [동정]최원철 공주시장, 한국여성독립기념관 건립 국회토론회 참석 | 광주학생독립운동기념회관, 세월호 기억 나무에 노란 리본 달기 캠페인 실시 | 고창군 재향군인회, 유적지 답사 | 개방20주년 청남대, 변화와 혁신의 날개를 펴다 | [올리베리 지구탐험대] 충청남도 천안시 | “투철한 애국정신 가슴 깊이 새겨 계승해 나가자” | [동정] 최원철 공주시장, 한국여성독립기념관 건립 국회토론회 | 대한민국 상해임시정부 수립 제104주년을 맞이하여"
2023-04-14,4445,15.1,23.3,6.3,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0,"공주시, '한국여성독립운동기념관' 건립 추진...""전국 최초"" | [단독]‘2·8독립선언’ 현장 도쿄 YMCA 운영중단 | 공주시, 전국 최초 '한국여성독립운동기념관' 건립 추진 | 공주시, 전국 최초 '한국여성독립운동기념관' 건립 추진 | [2023 귀농귀촌 청년창업 박람회] ⑤ 충남·충북(끝) | 공주시, ""근대문화 테마관광지"" 조성 | 제22회 유관순상, '최정숙을 기리는 모임' 수상 | 인천문화재단, 인천 산업·노동 역사적 의미 살핀다…심포지엄 개최"
