"	232",천안,2021-08-02,6.7,3.2,10:27
"	232",천안,2021-08-03,1.6,1.6,1:02
"	232",천안,2021-08-04,0,0,
"	232",천안,2021-08-05,0,0,
"	232",천안,2021-08-06,,,
"	232",천안,2021-08-07,,,
"	232",천안,2021-08-08,0,0,
"	232",천안,2021-08-09,,,
"	232",천안,2021-08-10,16.2,10.1,13:19
"	232",천안,2021-08-11,,,
"	232",천안,2021-08-12,2.9,2.9,19:45
"	232",천안,2021-08-13,,,
"	232",천안,2021-08-14,0,0,
"	232",천안,2021-08-15,,,
"	232",천안,2021-08-16,,,
"	232",천안,2021-08-17,0.9,0.6,22:49
"	232",천안,2021-08-18,4.9,4.9,18:01
"	232",천안,2021-08-19,0,0,
"	232",천안,2021-08-20,5.3,5.3,20:36
"	232",천안,2021-08-21,24.9,10.7,10:06
"	232",천안,2021-08-22,,,
"	232",천안,2021-08-23,68.4,15,16:49
"	232",천안,2021-08-24,8.2,2.4,7:51
"	232",천안,2021-08-25,25.1,7.6,12:38
"	232",천안,2021-08-26,,,
"	232",천안,2021-08-27,17.8,7.2,13:21
"	232",천안,2021-08-28,0,0,
"	232",천안,2021-08-29,21.8,7.8,5:13
"	232",천안,2021-08-30,0,0,
"	232",천안,2021-08-31,7.1,2.6,19:42
"	232",천안,2021-09-01,117.1,42.5,2:25
"	232",천안,2021-09-02,,,
"	232",천안,2021-09-03,,,
"	232",천안,2021-09-04,,,
"	232",천안,2021-09-05,1.4,0.9,20:30
"	232",천안,2021-09-06,37.5,14.6,20:26
"	232",천안,2021-09-07,5.1,1.7,1:46
"	232",천안,2021-09-08,2.5,1.4,0:01
"	232",천안,2021-09-09,,,
"	232",천안,2021-09-10,,,
"	232",천안,2021-09-11,,,
"	232",천안,2021-09-12,,,
"	232",천안,2021-09-13,,,
"	232",천안,2021-09-14,,,
"	232",천안,2021-09-15,,,
"	232",천안,2021-09-16,,,
"	232",천안,2021-09-17,10.4,4.6,6:43
"	232",천안,2021-09-18,,,
"	232",천안,2021-09-19,,,
"	232",천안,2021-09-20,,,
"	232",천안,2021-09-21,44.6,20.3,5:45
"	232",천안,2021-09-22,10.3,6.7,2:43
"	232",천안,2021-09-23,,,
"	232",천안,2021-09-24,,,
"	232",천안,2021-09-25,,,
"	232",천안,2021-09-26,,,
"	232",천안,2021-09-27,0,0,
"	232",천안,2021-09-28,0.3,0.2,
"	232",천안,2021-09-29,21.6,11.9,8:32
"	232",천안,2021-09-30,,,
"	232",천안,2021-10-01,11.9,11.9,22:58
"	232",천안,2021-10-02,1.6,1.4,3:48
"	232",천안,2021-10-03,,,
"	232",천안,2021-10-04,,,
"	232",천안,2021-10-05,,,
"	232",천안,2021-10-06,0.9,0.8,9:19
"	232",천안,2021-10-07,13.4,13.1,11:14
"	232",천안,2021-10-08,1.5,0.8,16:05
"	232",천안,2021-10-09,0.1,0.1,
"	232",천안,2021-10-10,4.6,1.4,22:00
"	232",천안,2021-10-11,2.8,1.6,4:53
"	232",천안,2021-10-12,1,1,16:22
"	232",천안,2021-10-13,,,
"	232",천안,2021-10-14,,,
"	232",천안,2021-10-15,3.1,0.9,22:27
"	232",천안,2021-10-16,3.4,1.7,0:23
"	232",천안,2021-10-17,,,
"	232",천안,2021-10-18,,,
"	232",천안,2021-10-19,5,2.3,3:02
"	232",천안,2021-10-20,,,
"	232",천안,2021-10-21,,,
"	232",천안,2021-10-22,,,
"	232",천안,2021-10-23,,,
"	232",천안,2021-10-24,,,
"	232",천안,2021-10-25,,,
"	232",천안,2021-10-26,,,
"	232",천안,2021-10-27,0,0,
"	232",천안,2021-10-28,,,
"	232",천안,2021-10-29,,,
"	232",천안,2021-10-30,,,
"	232",천안,2021-10-31,0.2,0.2,
"	232",천안,2021-11-01,,,
"	232",천안,2021-11-02,,,
"	232",천안,2021-11-03,,,
"	232",천안,2021-11-04,0.1,,
"	232",천안,2021-11-05,,,
"	232",천안,2021-11-06,,,
"	232",천안,2021-11-07,,,
"	232",천안,2021-11-08,16.9,,
"	232",천안,2021-11-09,3.9,,
"	232",천안,2021-11-10,6,,
"	232",천안,2021-11-11,2.5,,
"	232",천안,2021-11-12,1,,
"	232",천안,2021-11-13,,,
"	232",천안,2021-11-14,,,
"	232",천안,2021-11-15,,,
"	232",천안,2021-11-16,,,
"	232",천안,2021-11-17,,,
"	232",천안,2021-11-18,,,
"	232",천안,2021-11-19,,,
"	232",천안,2021-11-20,,,
"	232",천안,2021-11-21,0.3,,
"	232",천안,2021-11-22,8.7,,
"	232",천안,2021-11-23,1.7,,
"	232",천안,2021-11-24,,,
"	232",천안,2021-11-25,0.3,,
"	232",천안,2021-11-26,,,
"	232",천안,2021-11-27,,,
"	232",천안,2021-11-28,,,
"	232",천안,2021-11-29,,,
"	232",천안,2021-11-30,26.5,,
"	232",천안,2021-12-01,,,
"	232",천안,2021-12-02,0,,
"	232",천안,2021-12-03,2,,
"	232",천안,2021-12-04,,,
"	232",천안,2021-12-05,,,
"	232",천안,2021-12-06,,,
"	232",천안,2021-12-07,,,
"	232",천안,2021-12-08,,,
"	232",천안,2021-12-09,,,
"	232",천안,2021-12-10,0.9,,
"	232",천안,2021-12-11,,,
"	232",천안,2021-12-12,0,,
"	232",천안,2021-12-13,,,
"	232",천안,2021-12-14,0.3,,
"	232",천안,2021-12-15,0.9,,
"	232",천안,2021-12-16,,,
"	232",천안,2021-12-17,,,
"	232",천안,2021-12-18,0,,
"	232",천안,2021-12-19,1.3,,
"	232",천안,2021-12-20,0,,
"	232",천안,2021-12-21,,,
"	232",천안,2021-12-22,,,
"	232",천안,2021-12-23,,,
"	232",천안,2021-12-24,,,
"	232",천안,2021-12-25,,,
"	232",천안,2021-12-26,,,
"	232",천안,2021-12-27,,,
"	232",천안,2021-12-28,,,
"	232",천안,2021-12-29,0,,
"	232",천안,2021-12-30,0,,
"	232",천안,2021-12-31,,,
"	232",천안,2022-01-01,,,
"	232",천안,2022-01-02,0.3,,
"	232",천안,2022-01-03,,,
"	232",천안,2022-01-04,,,
"	232",천안,2022-01-05,,,
"	232",천안,2022-01-06,,,
"	232",천안,2022-01-07,,,
"	232",천안,2022-01-08,,,
"	232",천안,2022-01-09,,,
"	232",천안,2022-01-10,0,,
"	232",천안,2022-01-11,0.5,,
"	232",천안,2022-01-12,,,
"	232",천안,2022-01-13,0,,
"	232",천안,2022-01-14,,,
"	232",천안,2022-01-15,,,
"	232",천안,2022-01-16,0.2,,
"	232",천안,2022-01-17,1,,
"	232",천안,2022-01-18,,,
"	232",천안,2022-01-19,0,,
"	232",천안,2022-01-20,,,
"	232",천안,2022-01-21,,,
"	232",천안,2022-01-22,,,
"	232",천안,2022-01-23,,,
"	232",천안,2022-01-24,,,
"	232",천안,2022-01-25,0.5,,
"	232",천안,2022-01-26,,,
"	232",천안,2022-01-27,,,
"	232",천안,2022-01-28,,,
"	232",천안,2022-01-29,,,
"	232",천안,2022-01-30,,,
"	232",천안,2022-01-31,0.8,,
"	232",천안,2022-02-01,0.7,,
"	232",천안,2022-02-02,,,
"	232",천안,2022-02-03,,,
"	232",천안,2022-02-04,0,,
"	232",천안,2022-02-05,0,,
"	232",천안,2022-02-06,,,
"	232",천안,2022-02-07,,,
"	232",천안,2022-02-08,,,
"	232",천안,2022-02-09,,,
"	232",천안,2022-02-10,,,
"	232",천안,2022-02-11,,,
"	232",천안,2022-02-12,,,
"	232",천안,2022-02-13,,,
"	232",천안,2022-02-14,1,,
"	232",천안,2022-02-15,0,,
"	232",천안,2022-02-16,0,,
"	232",천안,2022-02-17,,,
"	232",천안,2022-02-18,,,
"	232",천안,2022-02-19,0,,
"	232",천안,2022-02-20,0.5,,
"	232",천안,2022-02-21,0,,
"	232",천안,2022-02-22,0.5,,
"	232",천안,2022-02-23,,,
"	232",천안,2022-02-24,,,
"	232",천안,2022-02-25,,,
"	232",천안,2022-02-26,0.6,,
"	232",천안,2022-02-27,,,
"	232",천안,2022-02-28,,,
"	232",천안,2022-03-01,0.9,,
"	232",천안,2022-03-02,,,
"	232",천안,2022-03-03,,,
"	232",천안,2022-03-04,,,
"	232",천안,2022-03-05,,,
"	232",천안,2022-03-06,,,
"	232",천안,2022-03-07,,,
"	232",천안,2022-03-08,,,
"	232",천안,2022-03-09,,,
"	232",천안,2022-03-10,,,
"	232",천안,2022-03-11,,,
"	232",천안,2022-03-12,,,
"	232",천안,2022-03-13,16.9,,
"	232",천안,2022-03-14,3.2,,
"	232",천안,2022-03-15,,,
"	232",천안,2022-03-16,,,
"	232",천안,2022-03-17,4.5,,
"	232",천안,2022-03-18,2.3,,
"	232",천안,2022-03-19,6.7,,
"	232",천안,2022-03-20,,,
"	232",천안,2022-03-21,,,
"	232",천안,2022-03-22,,,
"	232",천안,2022-03-23,,,
"	232",천안,2022-03-24,,,
"	232",천안,2022-03-25,8,,
"	232",천안,2022-03-26,15.1,,
"	232",천안,2022-03-27,,,
"	232",천안,2022-03-28,,,
"	232",천안,2022-03-29,,,
"	232",천안,2022-03-30,0,,
"	232",천안,2022-03-31,,,
"	232",천안,2022-04-01,,,
"	232",천안,2022-04-02,,,
"	232",천안,2022-04-03,,,
"	232",천안,2022-04-04,,,
"	232",천안,2022-04-05,,,
"	232",천안,2022-04-06,,,
"	232",천안,2022-04-07,0,0,
"	232",천안,2022-04-08,,,
"	232",천안,2022-04-09,0,0,
"	232",천안,2022-04-10,,,
"	232",천안,2022-04-11,,,
"	232",천안,2022-04-12,,,
"	232",천안,2022-04-13,16.4,3.1,11:59
"	232",천안,2022-04-14,9.5,3.2,5:01
"	232",천안,2022-04-15,,,
"	232",천안,2022-04-16,,,
"	232",천안,2022-04-17,,,
"	232",천안,2022-04-18,,,
"	232",천안,2022-04-19,,,
"	232",천안,2022-04-20,,,
"	232",천안,2022-04-21,,,
"	232",천안,2022-04-22,,,
"	232",천안,2022-04-23,,,
"	232",천안,2022-04-24,,,
"	232",천안,2022-04-25,3.9,1.9,21:25
"	232",천안,2022-04-26,9,2.8,1:17
"	232",천안,2022-04-27,,,
"	232",천안,2022-04-28,0,0,
"	232",천안,2022-04-29,12.8,4.4,3:34
"	232",천안,2022-04-30,,,
"	232",천안,2022-05-01,,,
"	232",천안,2022-05-02,,,
"	232",천안,2022-05-03,,,
"	232",천안,2022-05-04,,,
"	232",천안,2022-05-05,,,
"	232",천안,2022-05-06,,,
"	232",천안,2022-05-07,,,
"	232",천안,2022-05-08,1,0.9,22:46
"	232",천안,2022-05-09,2.2,1.3,0:01
"	232",천안,2022-05-10,,,
"	232",천안,2022-05-11,,,
"	232",천안,2022-05-12,,,
"	232",천안,2022-05-13,,,
"	232",천안,2022-05-14,,,
"	232",천안,2022-05-15,,,
"	232",천안,2022-05-16,,,
